benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,2,0,2254321,2,J2,CrabisaAgent,AdrianHerasAgent,EdoAgent,CrabisaAgent|AdrianHerasAgent|EdoAgent,1,10,1,J2,HybridLLMAgent,17,turn_P2,3,4,10,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,3,0,3054321,0,J0,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J0,HybridLLMAgent,24,turn_P0,10,2,2,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,3,0,3154321,1,J1,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J1,HybridLLMAgent,15,turn_P1,2,10,2,6,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,3,0,3254321,2,J2,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,10,1,J2,HybridLLMAgent,27,turn_P2,2,6,10,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,3,0,3354321,3,J3,CrabisaAgent,EdoAgent,AdrianHerasAgent,CrabisaAgent|EdoAgent|AdrianHerasAgent,1,13,1,J3,HybridLLMAgent,7,turn_P3,2,3,2,13,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,4,0,4054321,0,J0,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J0,HybridLLMAgent,21,turn_P0,10,4,2,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,4,0,4154321,1,J1,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,11,1,J1,HybridLLMAgent,14,turn_P1,2,11,4,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,4,0,4254321,2,J2,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J2,HybridLLMAgent,15,turn_P2,2,2,10,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,4,0,4354321,3,J3,EdoAgent,AdrianHerasAgent,CrabisaAgent,EdoAgent|AdrianHerasAgent|CrabisaAgent,1,10,1,J3,HybridLLMAgent,18,turn_P3,3,2,4,10,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,5,0,5054321,0,J0,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,12,1,J0,HybridLLMAgent,17,turn_P0,12,5,2,4,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,5,0,5154321,1,J1,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J1,HybridLLMAgent,28,turn_P1,4,10,2,5,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,5,0,5254321,2,J2,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J2,HybridLLMAgent,16,turn_P2,5,2,10,2,
standard,bedrock_amazon.nova-lite-v1_0_guided_compact_small_standard_01,HybridLLMAgent,bedrock,bedrock/amazon.nova-lite-v1:0,guided_compact,5,0,5354321,3,J3,EdoAgent,CrabisaAgent,AdrianHerasAgent,EdoAgent|CrabisaAgent|AdrianHerasAgent,1,10,1,J3,HybridLLMAgent,14,turn_P3,2,2,6,10,
